YEAR,SITE,SUBSITE,CONCAT,,CaMPTree,CaMPNutrient,CaMP_Class,,SAMPLE,UPPER,THICK,MIDDEPTH,DEPTHCLASS,LOGDEPTH,U_F,POSN,BD,T_ASH,OMD,VP,MATERIAL,PeatMin,PeatC_dens,CONTAMINAT,PH,ECOPROV,ECOREGION,WETREGION,PERMAFROST,MAT,,,forested bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1101,156,10,161,11,2.3978952728,U,2,0.064,5.4,0.0605,3,2,Peat,0.0318,F,4.8,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1102,166,15,173.5,12,2.4849066498,U,2,0.089,6.7,0.083,5,10,Peat,0.0437,F,5,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1103,181,17,189.5,13,2.5649493575,U,2,0.095,6.3,0.089,3,1,Peat,0.0468,F,4.9,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1104,198,17,206.5,14,2.6390573296,U,2,0.1,6.6,0.0934,3,2,Peat,0.0491,F,4.8,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1105,215,27,228.5,16,2.7725887222,U,2,0.109,7,0.1014,3,2,Peat,0.0533,F,4.9,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1106,242,14,249,17,2.8332133441,U,2,0.085,7.6,0.0785,2,1,Peat,0.0413,F,5,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1107,256,15,263.5,18,2.8903717579,U,2,0.091,6.6,0.085,2,5,Peat,0.0447,F,4.9,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1108,271,33,287.5,20,2.9957322736,U,2,0.093,6.1,0.0873,4,6,Peat,0.0459,F,5,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1110,304,13,310.5,21,3.0445224377,U,2,0.131,6.1,0.123,5,5,Peat,0.0647,F,5,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1111,317,13,323.5,22,3.0910424534,U,2,0.125,6.3,0.1171,5,5,Peat,0.0616,F,5,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1112,330,14,337,23,3.1354942159,U,2,0.118,6.9,0.1099,5,5,Peat,0.0578,F,5.1,BO,MBs,BHc,N,-0.3,,,open bog,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1113,344,14,351,24,3.1780538303,U,2,0.115,6.6,0.1074,5,5,Peat,0.0565,F,5,BO,MBs,BHc,N,-0.3,,,forested poor,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1114,358,17,366.5,25,3.2188758249,U,2,0.109,7.4,0.1009,5,5,Peat,0.0531,F,5,BO,MBs,BHc,N,-0.3,,,forested poor,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1115,375,13,381.5,26,3.258096538,U,2,0.134,9.1,0.1218,5,5,Peat,0.064,F,5.1,BO,MBs,BHc,N,-0.3,,,forested poor,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1116,388,13,394.5,27,3.295836866,U,2,0.136,9.8,0.1227,5,5,Peat,0.0645,F,5.1,BO,MBs,BHc,N,-0.3,,,forested poor,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1117,401,15,408.5,28,3.3322045102,U,2,0.152,11.2,0.135,6,6,Peat,0.071,F,5.1,BO,MBs,BHc,N,-0.3,,,forested poor,1,,,,
1981,38,A,198138A,4,forested,bog,forested bog,0,1118,416,18,425,29,3.36729583,U,2,0.326,36.9,0.2057,9,7,Peat,0.1082,F,,BO,MBs,BHc,N,-0.3,,,forested poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,1,1261,0,14,7,1,0,U,1,0.04,4.9,0.038,1,3,Peat,0.02,F,4.4,BO,LBs,BMc,N,1.1,,,forested poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1262,14,14,21,2,0.6931471806,U,2,0.099,13.9,0.0852,5,3,Peat,0.0448,F,4.7,BO,LBs,BMc,N,1.1,,,forested poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1263,28,7,31.5,3,1.0986122887,U,2,0.13,11.6,0.1149,5,3,Peat,0.0604,F,5,BO,LBs,BMc,N,1.1,,,forested poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1264,35,8,39,3,1.0986122887,U,2,0.119,11.7,0.1051,3,1,Peat,0.0552,F,5,BO,LBs,BMc,N,1.1,,,forested poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1265,43,23,54.5,4,1.3862943611,U,2,0.151,12.5,0.1321,5,3,Peat,0.0695,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1266,66,19,75.5,6,1.7917594692,U,2,0.098,11.1,0.0871,5,2,Peat,0.0458,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1267,85,16,93,7,1.9459101491,U,2,0.109,11.4,0.0966,5,2,Peat,0.0508,F,5.1,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1268,101,13,107.5,8,2.0794415417,U,2,0.102,11.4,0.0904,6,2,Peat,0.0475,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1269,114,19,123.5,9,2.1972245773,U,2,0.073,9.6,0.066,5,2,Peat,0.0347,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1270,133,17,141.5,10,2.302585093,U,2,0.087,9.9,0.0784,5,2,Peat,0.0412,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1271,150,15,157.5,11,2.3978952728,U,2,0.1,10.4,0.0896,5,2,Peat,0.0471,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1272,165,13,171.5,12,2.4849066498,U,2,0.089,10.2,0.0799,5,2,Peat,0.042,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1273,178,17,186.5,13,2.5649493575,U,2,0.106,12.7,0.0925,6,2,Peat,0.0487,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1274,195,19,204.5,14,2.6390573296,U,2,0.125,13.2,0.1085,6,2,Peat,0.057,F,5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1275,214,9,218.5,15,2.7080502011,U,2,0.128,13.6,0.1106,6,6,Peat,0.0581,F,5.6,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1276,223,14,230,16,2.7725887222,U,2,0.155,15.2,0.1314,6,6,Peat,0.0691,F,5.5,BO,LBs,BMc,N,1.1,,,treed poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1277,237,17,245.5,17,2.8332133441,U,2,0.158,13.6,0.1365,8,6,Peat,0.0718,F,5.5,BO,LBs,BMc,N,1.1,,,open poor,1,,,,
1981,46,,198146,5,forested,bog,forested bog,0,1278,254,7,257.5,18,2.8903717579,U,2,0.237,29.8,0.1664,9,7,Peat,0.0875,F,5.8,BO,LBs,BMc,N,1.1,,,open poor,1,,,,
