ID,X,Y,YEAR,SITE,UID,NUTRIENTS,PRIM_CLASS,SEC_CLASS,PROV,Ecozone,LATN,LONGW,ECPROV,ECREGION,WETREGION,PEATDEPTH,WTDEPTH,WETTYPE,CWFIS_date,YEAR,MONTH,DAY,SampleDate,Card_Date_Notes,stackID,out_dc,dc_class,ECOPROV
319,-807092.985,704173.126,1984,62,1984-62,1,basin_bog,treed_conif,SK,,54.65,-107.82,BO,LBs,BMc,165,-45,bog,dc840806,84,08,06,1984-08-06,,852,429,4,Central Boreal Plains
322,-842500.02,837804.836,1984,65,1984-65,1,basin_bog,treed_conif,SK,,55.78,-108.82,BO,MBs,BHc,160,-30,bog,dc840808,84,08,08,1984-08-08,,854,405,4,Central Boreal Plains
327,-819370.5875,837232.3477,1984,70,1984-70,1,basin_bog,treed_conif,SK,,55.82,-108.45,BO,HBs,BHc,225,-50,bog,dc840811,84,08,11,1984-08-11,,857,419,4,Central Boreal Plains
328,-820341.5818,838555.9915,1984,71,1984-71,1,basin_bog,treed_conif,SK,,55.83,-108.47,BO,HBs,BHc,150,-35,bog,dc840811,84,08,11,1984-08-11,,857,419,4,Central Boreal Plains
44,-1045763.035,881636.5729,1981,24,1981-24,1,flat,treed_conif,AB,,55.72,-112.2,BO,MBs,BHc,297,-19,bog,dc810708,81,07,08,1981-07-08,,280,333,3,Central Boreal Plains
76,-1215127.682,947645.6411,1981,49,1981-49,1,flat,treed_conif,AB,,55.85,-115.15,BO,MBs,BHc,406,-40,bog,dc810730,81,07,30,1981-07-30,,302,311,3,Central Boreal Plains
317,-768337.1623,670837.9547,1984,60,1984-60,1,flat,treed_conif,SK,,54.42,-107.12,BO,LBs,BMc,109,-55,bog,dc840804,84,08,04,1984-08-04,,850,412,4,Central Boreal Plains
315,-805998.9423,709527.4917,1984,58,1984-58,1,northern plateau,northern plateau,SK,,54.7,-107.82,BO,LBs,BMc,360,-42,bog,dc840803,84,08,03,1984-08-03,,849,412,4,Central Boreal Plains
47,-1216230.78,888359.9405,1981,26,1981-26,1,northern plateau,treed_conif,AB,,55.33,-114.87,BO,LBs,BMc,311,-28,bog,dc810709,81,07,09,1981-07-09,,281,274,2,Central Boreal Plains
77,-1204383.743,884554.307,1981,50,1981-50,1,northern plateau,treed_conif,AB,,55.33,-114.67,BO,LBs,BMc,286,-22,bog,dc810730,81,07,30,1981-07-30,,302,270,2,Central Boreal Plains
249,-508700.4775,456067.0721,1984,1,Jan-84,1,northern plateau,treed_conif,SK,,52.85,-102.67,BO,LBs,BMt,280,-33,bog,dc840606,84,06,06,1984-06-06,,791,149,1,Central Boreal Plains
301,-659384.4538,684603.9488,1984,46,1984-46,1,northern plateau,treed_conif,SK,,54.72,-105.47,BO,MBs,BHc,382,-34,bog,dc840718,84,07,18,1984-07-18,also 23 jul 1984 on another card,833,260,2,Central Boreal Plains
306,-662572.4323,696213.972,1984,51,1984-51,1,northern plateau,treed_conif,SK,,54.82,-105.55,BO,MBs,BHc,532,-37,bog,dc840720,84,07,20,1984-07-20,also 23 jul 1984 on another card,835,254,2,Central Boreal Plains
308,-662933.2358,694058.6661,1984,52,1984-52,1,northern plateau,treed_conif,SK,,54.8,-105.55,BO,MBs,BHc,452,-35,bog,dc840721,84,07,21,1984-07-21,,836,238,2,Central Boreal Plains
321,-799819.424,786298.49,1984,64,1984-64,1,northern plateau,treed_conif,SK,,55.4,-107.97,BO,MBs,BHc,278,-35,bog,dc840807,84,08,07,1984-08-07,,853,415,4,Central Boreal Plains
331,-806399.8779,757565.1759,1984,74,1984-74,1,northern plateau,treed_conif,SK,,55.13,-107.98,BO,LBs,BHc,226,-40,bog,dc840813,84,08,13,1984-08-13,,859,438,4,Central Boreal Plains
49,-1051994.905,807520.3318,1981,28,1981-28,1,shore,treed_conif,AB,,55.05,-111.98,BO,MBs,BMc,198,-43,bog,dc810710,81,07,10,1981-07-10,,282,328,3,Central Boreal Plains
307,-681632.5883,678382.8338,1984,50,1984-50,2,northern plateau,treed_conif,SK,,54.63,-105.8,BO,MBs,BHc,383,-42,bog,dc840720,84,07,20,1984-07-20,,835,279,2,Central Boreal Plains
55,-1074786.604,765061.9564,1981,34,1981-34,4,peat plateau,collapse scar_bog,AB,,54.62,-112.15,BO,LBs,BMc,285,-5,bog,dc810712,81,07,12,1981-07-12,and 11 jul 1981 for Ok type at white birch grass swamp,284,323,3,Central Boreal Plains
50,-1055511.839,799424.405,1981,29,1981-29,6,basin_bog,treed_conif,AB,,54.97,-112,BO,MBs,BMc,517,-20,bog,dc810710,81,07,10,1981-07-10,,282,323,3,Central Boreal Plains
61,-1214312.582,985239.2631,1981,38,1981-38,6,basin_bog,treed_conif,AB,,56.18,-115.33,BO,MBs,BHc,434,-36,bog,dc810721,81,07,21,1981-07-21,,293,379,3,Central Boreal Plains
72,-1198387.36,884933.9693,1981,46,1981-46,6,flat,treed_conif,AB,,55.35,-114.58,BO,LBs,BMc,261,-28,bog,dc810728,81,07,28,1981-07-28,,300,258,2,Central Boreal Plains
