CORE_ID,SOURCE_SITEID,SOURCE_SUB,LATITUDE,LONGITUDE,LOC_SOURCE_FORMAT,LOC_ACCURACY_NOTES,PROV_TERR,SAMPLING_YR,SAMPLING_MONTH,SAMPLING_DATE,SAMPLING_ST,CSSC_CODE,CSSC_ORDER,CSSC_GREAT_GROUP,CSSC_GGSG,ORG_DEPTH,BASE_Y_N,BASE_RSR,PERC_BD_MEAS,PERC_C_MEAS,PERMAFROST,ACTIVE_DPT,WT_DEPTH,ORG_C_MGHA,CWCS_CLASS,FEN_TYPE,CWCS_FORM,CWCS_TYPE,TREED,CORE_POSITION,DISTURBANCE,MICROFORM,OTHER_DESC,VEGETATION
393,Z-1983-15,Z-1983-15-A,49.6,-96.5,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,25,ZMX,,,,,280,Y,,100,0,N,,14,1600.1,fen,moderately rich,string : northern ribbed,shrub : tall,N,,,string,,Betula pumila; Salix bebbiana; Salix interior; Salix lucida; Lonicera oblongifolia; Salix candida; Salix pedicellaris; Ribes hirtellum; Cornus sericea; Rhododendron groenlandicum; Rubus arcticus; Rubus pubescens; Carex interior; Equisetum fluviatile; Muhlenbergia glomerata; Carex diandra; Galium labradoricum; Poa pratensis; Poa palustris; Carex vaginata; Stellaria longifolia; Solidago canadensis; Campanula aparinoides; Carex lasiocarpa; Comarum palustre; Carex tenuiflora; Aulacomnium palustre; Bryum pseudotriquetrum; Campylium stellatum; Plagiomnium ellipticum; Hypnum pratense; Climacium dendroides; Tomentypnum nitens; Thuidium recognitum; Calliergonella cuspidata; Plagiothecium denticulatum; Pylaisia polyantha; Ptilidium pulcherrimum
394,Z-1983-15,Z-1983-15-B,49.6,-96.5,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,25,ZMX,,,,,247,Y,,100,100,N,,-13,1316.8,fen,moderately rich,string : northern ribbed,graminoid : sedge,N,,,flark,,Betula pumila; Salix candida; Salix pedicellaris; Carex lasiocarpa; Equisetum fluviatile; Carex chordorrhiza; Utricularia intermedia; Eriophorum gracile; Utricularia minor; Calamagrostis neglecta; Eleocharis tenuis; Carex diandra; Carex livida; Carex buxbaumii; Menyanthes trifoliata; Comarum palustre; Galium labradoricum; Trichophorum alpinum; Sarracenia purpurea; Scorpidium scorpioides; Scorpidium revolvens; Bryum pseudotriquetrum; Campylium stellatum; Pseudocalliergon trifarium
395,Z-1983-15,Z-1983-15-C,49.6,-96.5,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,25,ZMX,,,,,255,Y,,100,0,N,,10,1307.2,bog,,domed,treed : coniferous,Y,"edge, margin, or rim",,,,Larix laricina; Picea mariana; Salix bebbiana; Betula pumila; Salix pedicellaris; Rhododendron groenlandicum; Chamaedaphne calyculata; Andromeda; Kalmia polifolia; Carex tenuiflora; Equisetum fluviatile; Carex disperma; Carex chordorrhiza; Vaccinium oxycoccos; Drosera rotundifolia; Sphagnum fimbriatum; Sphagnum angustifolium; Aulacomnium palustre; Sphagnum magellanicum; Hypnum pratense; Sphagnum fuscum; Sphagnum squarrosum; Sphagnum subsecundum; Plagiothecium denticulatum; Ptilidium pulcherrimum; Hylocomium splendens; Pohlia nutans; Polytrichum strictum; Pleurozium schreberi; Thuidium recognitum; Elodium blandowii; Platygyrium repens; Amblystegium serpens
396,Z-1983-15,Z-1983-15-D,49.6,-96.5,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,25,ZMX,,,,,292,Y,,100,100,N,,56,1544.2,bog,,domed,treed : coniferous,Y,center,,,,
397,Z-1983-16,Z-1983-16-A,49.43,-95.55,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,26,ZMX,,,,,246,Y,,100,100,N,,6,1746.6,fen,moderately rich,string : northern ribbed,shrub : mixed,N,,,string,,Larix laricina; Picea mariana; Thuja occidentalis; Betula pumila; Lonicera oblongifolia; Dasiphora fruticosa; Salix lucida; Cornus sericea; Rosa acicularis; Rhamnus alnifolia; Andromeda; Rhododendron groenlandicum; Chamaedaphne calyculata; Lonicera villosa; Salix pedicellaris; Carex interior; Carex lasiocarpa; Thelypteris palustris; Muhlenbergia glomerata; Carex tenuiflora; Rubus arcticus; Eriophorum angustifolium; Lysimachia thyrsiflora; Typha angustifolia; Carex magellanica; Maianthemum trifolium; Sarracenia purpurea; Phragmites australis; Vaccinium oxycoccos; Galium labradoricum; Comarum palustre; Eriophorum chamissonis; Campylium stellatum; Dicranum undulatum; Aulacomnium palustre; Sphagnum magellanicum; Sphagnum warnstorfii; Sphagnum contortum
398,Z-1983-16,Z-1983-16-B,49.43,-95.55,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,26,ZMX,,,,,220,Y,,100,10,N,,-20,1424.4,fen,moderately rich,string : northern ribbed,graminoid : sedge,N,,,flark,,Betula pumila; Salix pedicellaris; Andromeda; Carex lasiocarpa; Carex chordorrhiza; Carex livida; Eleocharis palustris; Utricularia intermedia; Carex limosa; Eriophorum gracile; Utricularia minor; Potamogeton gramineus; Scheuchzeria palustris; Triglochin maritima; Comarum palustre; Trichophorum alpinum; Menyanthes trifoliata; Scorpidium scorpioides; Scorpidium revolvens; Campylium stellatum
399,Z-1983-17,Z-1983-17,49.65,-95.57,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,26,ZMX,,,,,282,Y,,100,11.3,N,,26,1804.9,fen,moderately rich,horizontal,treed : coniferous,Y,,,,,Larix laricina; Picea mariana; Betula pumila; Salix lucida; Salix candida; Rhododendron groenlandicum; Andromeda; Salix pedicellaris; Kalmia polifolia; Carex interior; Maianthemum trifolium; Carex gynocrates; Carex aquatilis; Carex diandra; Carex chordorrhiza; Vaccinium oxycoccos; Rubus arcticus; Carex tenuiflora; Carex leptalea; Sarracenia purpurea; Muhlenbergia glomerata; Carex limosa; Menyanthes trifoliata; Cypripedium parviflorum; Arethusa bulbosa; Equisetum variegatum; Comarum palustre; Petasites frigidus; Drosera rotundifolia; Equisetum fluviatile; Eriophorum angustifolium; Sphagnum angustifolium; Sphagnum magellanicum; Sphagnum fuscum; Sphagnum warnstorfii; Dicranum undulatum; Pleurozium schreberi; Tomentypnum nitens; Aulacomnium palustre; Campylium stellatum; Scorpidium revolvens; Cinclidium stygium; Calliergon giganteum; Polytrichum strictum; Dicranum polysetum; Meesia triquetra; Bryum pseudotriquetrum; Thuidium delicatulum; Plagiomnium ellipticum; Hypnum lindbergii; Hypnum pratense; Plagiochila asplenioides; Mesoptychia rutheana; Fissidens adianthoides; Cladonia rangiferina
400,Z-1983-18,Z-1983-18,50.12,-95.65,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,28,ZMX,,,,,62,Y,,100,0,N,,2,388.1,swamp,,flat : basin,treed : hardwood,Y,,,,thicket,Salix lucida; Salix interior; Salix bebbiana; Alnus tenuifolia; Salix maccalliana; Salix candida; Betula papyrifera; Carex rostrata; Carex aquatilis; Calamagrostis neglecta; Carex diandra; Carex canescens; Mentha arvensis; Galium labradoricum; Stellaria longifolia; Impatiens capensis; Lysimachia thyrsiflora; Campanula aparinoides; Dryopteris cristata; Comarum palustre; Persicaria amphibia; Cicuta bulbifera; Viola palustris; Drepanocladus aduncus; Bryum pseudotriquetrum; Aulacomnium palustre; Calliergonella cuspidata; Climacium dendroides; Plagiomnium ellipticum; Sphagnum squarrosum
401,Z-1983-19,Z-1983-19-A,50.07,-95.55,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,28,ZMX,,,,,245,Y,,100,4.9,N,,34,1258.7,bog,,plateau : northern plateau,treed : coniferous,Y,,,,,Picea mariana; Betula pumila; Rhododendron groenlandicum; Chamaedaphne calyculata; Kalmia polifolia; Maianthemum trifolium; Carex chordorrhiza; Carex trisperma; Vaccinium oxycoccos; Carex magellanica; Carex gynocrates; Carex pauciflora; Drosera rotundifolia; Sarracenia purpurea; Eriophorum vaginatum; Dryopteris cristata; Sphagnum angustifolium; Sphagnum magellanicum; Pleurozium schreberi; Aulacomnium palustre; Bryum pseudotriquetrum; Ptilium crista-castrensis; Dicranum undulatum; Brachythecium sp.
402,Z-1983-19,Z-1983-19-B,50.07,-95.55,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,28,ZMX,,,,,227,Y,,100,100,N,,12,1191.2,fen,poor,,treed : coniferous,Y,,,,drainage,Larix laricina; Picea mariana; Betula pumila; Rhododendron groenlandicum; Chamaedaphne calyculata; Kalmia polifolia; Andromeda; Maianthemum trifolium; Carex lasiocarpa; Carex chordorrhiza; Carex magellanica; Carex trisperma; Vaccinium oxycoccos; Sarracenia purpurea; Equisetum fluviatile; Calla palustris; Sphagnum angustifolium; Sphagnum magellanicum; Sphagnum riparium; Pleurozium schreberi; Aulacomnium palustre; Bryum pseudotriquetrum; Brachythecium sp.; Sanionia uncinata; Pohlia nutans; Ptilium crista-castrensis; Geocalyx graveolens
403,Z-1983-20,Z-1983-20,50.12,-95.95,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,28,ZMX,,,,,115,Y,,100,0,N,,28,626,bog,,flat,treed : coniferous,Y,,,,,Picea mariana; Rhododendron groenlandicum; Carex trisperma; Maianthemum trifolium; Gaultheria hispidula; Galium labradoricum; Carex disperma; Carex tenuiflora; Carex magellanica; Vaccinium oxycoccos; Vaccinium vitis-idaea; Comarum palustre; Athyrium filix-femina; Pleurozium schreberi; Hylocomium splendens; Ptilium crista-castrensis; Dicranum ontariense; Sphagnum angustifolium; Dicranum polysetum; Hypnum pratense; Aulacomnium palustre; Ptilidium pulcherrimum; Pylaisia polyantha; Sphagnum squarrosum; Sphagnum nemoreum; Sphagnum magellanicum; Plagiomnium ellipticum; Brachythecium sp.; Pohlia nutans; Warnstorfia fluitans; Climacium dendroides; Tetraphis pellucida; Polytrichum strictum; Calliergon cordifolium; Plagiothecium laetum; Sanionia uncinata; Rhizomnium gracile; Rhizomnium pseudopunctatum; Blepharostoma trichophyllum; Lepidozia reptans; Peltigera malacea; Peltigera polydactylon
404,Z-1983-21,Z-1983-21,50.13,-95.97,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,6,29,ZMX,,,,,195,Y,,100,4.6,N,,43,992.6,bog,,flat,treed : coniferous,Y,,,,,Picea mariana; Rhododendron groenlandicum; Chamaedaphne calyculata; Vaccinium myrtilloides; Maianthemum trifolium; Vaccinium vitis-idaea; Vaccinium oxycoccos; Drosera rotundifolia; Pleurozium schreberi; Dicranum polysetum; Sphagnum fuscum; Dicranum ontariense; Hylocomium splendens; Ceratodon purpureus; Sphagnum nemoreum; Polytrichum strictum; Pohlia nutans; Aulacomnium palustre; Cladonia rangiferina; Cladina mitis; Peltigera polydactylon
405,Z-1983-22,Z-1983-22-A,50.13,-96.27,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1983,7,10,ZMX,,,,,235,Y,,100,100,N,,21,1389.4,fen,moderately rich,spring,treed : coniferous,Y,,,,,Picea mariana; Larix laricina; Betula pumila; Cornus sericea; Lonicera oblongifolia; Amelanchier alnifolia; Rhamnus alnifolia; Dasiphora fruticosa; Salix candida; Shepherdia canadensis; Lonicera dioica; Fraxinus pennsylvanica; Rhododendron groenlandicum; Lonicera villosa; Andromeda; Juniperus communis; Rubus pubescens; Carex leptalea; Glyceria striata; Linnaea borealis; Carex gynocrates; Carex disperma; Carex interior; Maianthemum trifolium; Mitella nuda; Geocaulon lividum; Trientalis borealis; Carex limosa; Carex diandra; Eriophorum gracile; Eriophorum angustifolium; Corallorhiza trifida; Epilobium leptophyllum; Sarracenia purpurea; Cypripedium reginae; Fragaria virginiana; Galium boreale; Galium labradoricum; Orthilia secunda; Platanthera hyperborea; Platanthera obtusata; Fragaria vesca; Viola palustris; Maianthemum stellata; Pyrola asarifolia; Viola renifolia; Vaccinium oxycoccos; Drosera rotundifolia; Cornus canadensis; Bromus ciliatus; Hylocomium splendens; Thuidium recognitum; Tomentypnum nitens; Pleurozium schreberi; Aulacomnium palustre; Sphagnum warnstorfii; Plagiomnium ellipticum; Scorpidium revolvens; Platygyrium repens; Meesia triquetra; Campylium stellatum; Hypnum lindbergii; Meesia uliginosa; Myurella julacea; Cinclidium stygium; Calliergon giganteum; Drepanocladus aduncus; Distichium capillaceum; Fissidens adianthoides; Bryoerythrophyllum recurvirostrum; Campylium chrysophyllum; Hypnum pallescens
